Terminal: [6]
 Agents at terminal: 30
Agent ID; Capacity; starttime; endtime; start loc; end loc
3;4;315;2270;402;402
6;4;315;2270;402;402
8;4;315;2270;402;402
16;4;315;2270;402;402
17;4;315;2270;402;402
19;4;315;2270;402;402
20;4;315;2270;402;402
21;4;315;2270;402;402
32;4;315;2270;402;402
39;4;315;2270;402;402
40;4;315;2270;402;402
56;4;315;2270;402;402
57;4;315;2270;402;402
66;4;315;2270;402;402
71;4;315;2270;402;402
77;4;315;2270;402;402
86;4;315;2270;402;402
94;4;315;2270;402;402
105;4;315;2270;402;402
106;4;315;2270;402;402
127;4;315;2270;402;402
128;4;315;2270;402;402
135;4;315;2270;402;402
137;4;315;2270;402;402
138;4;315;2270;402;402
139;4;315;2270;402;402
140;4;315;2270;402;402
161;4;315;2270;402;402
167;4;315;2270;402;402
168;4;315;2270;402;402
Terminal: [1]
 Agents at terminal: 1
Agent ID; Capacity; starttime; endtime; start loc; end loc
-38;4;315;2270;403;403
Terminal: [2]
 Agents at terminal: 5
Agent ID; Capacity; starttime; endtime; start loc; end loc
-37;4;315;2270;394;394
-36;4;315;2270;394;394
-35;4;315;2270;394;394
-34;4;315;2270;394;394
-33;4;315;2270;394;394
Terminal: [5]
 Agents at terminal: 0
Agent ID; Capacity; starttime; endtime; start loc; end loc
Terminal: [7]
 Agents at terminal: 31
Agent ID; Capacity; starttime; endtime; start loc; end loc
-32;4;315;2270;396;396
-31;4;315;2270;396;396
-30;4;315;2270;396;396
-29;4;315;2270;396;396
-28;4;315;2270;396;396
-27;4;315;2270;396;396
-26;4;315;2270;396;396
-25;4;315;2270;396;396
-24;4;315;2270;396;396
-23;4;315;2270;396;396
-22;4;315;2270;396;396
-21;4;315;2270;396;396
-20;4;315;2270;396;396
-19;4;315;2270;396;396
-18;4;315;2270;396;396
-17;4;315;2270;396;396
-16;4;315;2270;396;396
-15;4;315;2270;396;396
-14;4;315;2270;396;396
-13;4;315;2270;396;396
-12;4;315;2270;396;396
-11;4;315;2270;396;396
-10;4;315;2270;396;396
-9;4;315;2270;396;396
-8;4;315;2270;396;396
-7;4;315;2270;396;396
-6;4;315;2270;396;396
-5;4;315;2270;396;396
-4;4;315;2270;396;396
-3;4;315;2270;396;396
-2;4;315;2270;396;396
Terminal: [8]
 Agents at terminal: 4
Agent ID; Capacity; starttime; endtime; start loc; end loc
-1;4;315;2270;397;397
165;4;315;2270;397;397
83;4;315;2270;397;397
18;4;315;2270;397;397
Terminal: [9]
 Agents at terminal: 42
Agent ID; Capacity; starttime; endtime; start loc; end loc
1;4;315;2270;398;398
5;4;315;2270;398;398
7;4;315;2270;398;398
10;4;315;2270;398;398
11;4;315;2270;398;398
12;4;315;2270;398;398
13;4;315;2270;398;398
14;4;315;2270;398;398
15;4;315;2270;398;398
22;4;315;2270;398;398
23;4;315;2270;398;398
24;4;315;2270;398;398
38;4;315;2270;398;398
42;4;315;2270;398;398
49;4;315;2270;398;398
50;4;315;2270;398;398
51;4;315;2270;398;398
52;4;315;2270;398;398
60;4;315;2270;398;398
70;4;315;2270;398;398
74;4;315;2270;398;398
76;4;315;2270;398;398
77;4;315;2270;398;398
88;4;315;2270;398;398
89;4;315;2270;398;398
90;4;315;2270;398;398
113;4;315;2270;398;398
124;4;315;2270;398;398
126;4;315;2270;398;398
129;4;315;2270;398;398
130;4;315;2270;398;398
131;4;315;2270;398;398
148;4;315;2270;398;398
149;4;315;2270;398;398
150;4;315;2270;398;398
157;4;315;2270;398;398
160;4;315;2270;398;398
164;4;315;2270;398;398
166;4;315;2270;398;398
169;4;315;2270;398;398
170;4;315;2270;398;398
172;4;315;2270;398;398
Terminal: [3]
 Agents at terminal: 34
Agent ID; Capacity; starttime; endtime; start loc; end loc
33;4;315;2270;399;399
47;4;315;2270;399;399
48;4;315;2270;399;399
54;4;315;2270;399;399
61;4;315;2270;399;399
65;4;315;2270;399;399
68;4;315;2270;399;399
75;4;315;2270;399;399
78;4;315;2270;399;399
79;4;315;2270;399;399
85;4;315;2270;399;399
87;4;315;2270;399;399
91;4;315;2270;399;399
92;4;315;2270;399;399
93;4;315;2270;399;399
95;4;315;2270;399;399
96;4;315;2270;399;399
100;4;315;2270;399;399
109;4;315;2270;399;399
110;4;315;2270;399;399
111;4;315;2270;399;399
116;4;315;2270;399;399
117;4;315;2270;399;399
118;4;315;2270;399;399
119;4;315;2270;399;399
120;4;315;2270;399;399
121;4;315;2270;399;399
133;4;315;2270;399;399
134;4;315;2270;399;399
158;4;315;2270;399;399
159;4;315;2270;399;399
163;4;315;2270;399;399
171;4;315;2270;399;399
174;4;315;2270;399;399
Terminal: [4]
 Agents at terminal: 29
Agent ID; Capacity; starttime; endtime; start loc; end loc
2;4;315;2270;400;400
4;4;315;2270;400;400
9;4;315;2270;400;400
34;4;315;2270;400;400
35;4;315;2270;400;400
36;4;315;2270;400;400
41;4;315;2270;400;400
43;4;315;2270;400;400
44;4;315;2270;400;400
45;4;315;2270;400;400
46;4;315;2270;400;400
53;4;315;2270;400;400
55;4;315;2270;400;400
58;4;315;2270;400;400
80;4;315;2270;400;400
84;4;315;2270;400;400
98;4;315;2270;400;400
99;4;315;2270;400;400
101;4;315;2270;400;400
102;4;315;2270;400;400
107;4;315;2270;400;400
108;4;315;2270;400;400
112;4;315;2270;400;400
122;4;315;2270;400;400
123;4;315;2270;400;400
132;4;315;2270;400;400
141;4;315;2270;400;400
151;4;315;2270;400;400
162;4;315;2270;400;400
Terminal: [10]
 Agents at terminal: 8
Agent ID; Capacity; starttime; endtime; start loc; end loc
37;4;315;2270;401;401
59;4;315;2270;401;401
67;4;315;2270;401;401
97;4;315;2270;401;401
114;4;315;2270;401;401
115;4;315;2270;401;401
125;4;315;2270;401;401
152;4;315;2270;401;401
Terminal: [11]
 Agents at terminal: 0
Agent ID; Capacity; starttime; endtime; start loc; end loc
[Inter Terminal Busses]
 Inter Terminal Busses: 12
Agent ID;Capacity; starttime; endtime; start loc; end loc
26;24;315;2270;-10;-10
28;24;315;2270;-10;-10
30;24;315;2270;-10;-10
63;24;315;2270;-10;-10
73;24;315;2270;-10;-10
82;24;315;2270;-10;-10
104;24;315;2270;-10;-10
143;24;315;2270;-10;-10
145;24;315;2270;-10;-10
147;24;315;2270;-10;-10
154;24;315;2270;-10;-10
156;24;315;2270;-10;-10
[Airside Busses]
 Air side Busses: 15
Agent ID; Capacity;starttime; endtime; start loc; end loc
25;18;315;2270;-11;-11
